,종목코드,종목명,결산월,액면가,자본금,상장주식,신용비율,연중최고,연중최저,시가총액,시가총액비중,외인소진률,대용가,PER,EPS,ROE,PBR,EV,BPS,매출액,영업이익,당기순이익,250최고,250최저,시가,고가,저가,상한가,하한가,기준가,예상체결가,예상체결수량,250최고가일,250최고가대비율,250최저가일,250최저가대비율,현재가,대비기호,전일대비,등락율,거래량,거래대비,액면가단위,유통주식,유통비율
0,185750,종근당,12,2500,286,11426,+2.44,+254000,-117000,14740,,+7.82,91440,16.09,8020,17.9,2.62,9.80,49187,13030,1239,904,+287000,-117000,+131000,+134000,+129000,+165000,-89000,127000,-0,0,20201221,-55.05,20210823,+10.26,+129000,2,+2000,+1.57,105117,+174.87,원,6950,60.8
0,000210,DL,12,5000,1283,20956,+2.36,+107000,-60400,14879,,+14.82,49280,5.43,13082,11.8,1.06,8.72,67178,15661,1191,5727,+107000,-60400,-70200,+71300,-69800,+91500,-49300,70400,-0,0,20210511,-33.64,20210129,+17.55,+71000,2,+600,+0.85,52804,-86.72,원,11847,56.5
0,000250,삼천당제약,12,500,114,22768,+8.39,+83200,-48250,12500,,+4.65,39880,,-43,-0.6,6.63,95.88,8284,1669,55,75,+95700,-47200,-55100,+55800,-53500,+72000,-38800,55400,-0,0,20201222,-42.63,20200924,+16.31,-54900,5,-500,-0.90,383945,-28.44,원,13269,58.3
0,363280,티와이홀딩스,12,500,201,40172,+1.14,+34250,-23200,12192,,+6.30,21810,3.37,9007,,1.06,142.13,28570,929,16,3540,+34250,-19450,-30250,+30700,-30000,+39350,-21250,30300,-0,0,20210721,-11.39,20201102,+56.04,+30350,2,+50,+0.17,117887,+119.72,원,19239,47.9
0,048410,현대바이오,12,500,183,36580,+5.04,+66300,-22100,11815,,+4.06,21390,,-240,-17.5,22.65,,1426,125,-45,-86,+66300,-9950,+34800,+35000,-32150,+44850,-24150,34500,-0,0,20210226,-51.28,20200925,+224.62,-32300,5,-2200,-6.38,1459919,+132.62,원,32092,87.7
0,060250,NHN한국사이버결제,12,500,123,24503,+0.92,+70200,-43900,11529,,+33.47,36890,38.41,1225,21.4,6.68,20.85,7042,6248,398,299,+75000,-43900,-48000,-48500,-46900,+63100,-34000,48550,-0,0,20200831,-37.27,20210310,+7.18,-47050,5,-1500,-3.09,138209,+176.13,원,13109,53.5
0,067630,에이치엘비생명과학,12,500,471,94181,+0.31,+28450,-9540,12479,,+6.03,9240,,-591,-18.0,4.35,,3043,918,-81,-558,+37400,-9540,13200,+13800,-12800,+17150,-9250,13200,-0,0,20200921,-64.57,20210721,+38.89,+13250,2,+50,+0.38,3818961,+105.87,원,76765,81.5
0,078340,컴투스,12,500,64,12866,+3.35,+180600,-98100,13291,,+15.38,76510,16.54,6246,8.5,1.26,5.62,81680,5090,1141,764,+180600,-98100,-102800,+104600,-102000,+134400,-72400,103400,-0,0,20210426,-42.80,20210820,+5.30,-103300,5,-100,-0.10,74813,-92.68,원,8086,62.9
0,085660,차바이오텍,12,500,281,56261,+3.90,+31100,-17700,13137,,+9.19,18200,,-355,-5.1,3.43,54.57,6803,6647,-24,-342,+31100,-16350,-23900,-23900,-23300,+31100,-16800,23950,-0,0,20210706,-24.92,20201027,+42.81,-23350,5,-600,-2.51,680510,+172.86,원,38859,69.1
0,141080,레고켐바이오,12,500,121,24116,+3.33,+72300,-45600,13071,,+7.89,40100,,-290,-6.2,11.65,,4651,494,-298,-70,+74900,-45600,-55100,+56000,-54000,+72400,-39000,55700,-0,0,20201230,-27.64,20210504,+18.86,-54200,5,-1500,-2.69,254970,+111.89,원,21217,88.0
0,200130,콜마비앤에이치,12,500,148,29544,+2.07,+58000,-37900,11773,,+3.44,30620,14.63,2724,27.9,3.62,9.18,11004,6069,1092,801,+72900,-37900,-40250,40300,-39250,+52300,-28250,40300,-0,0,20200825,-45.34,20210820,+5.15,-39850,5,-450,-1.12,151079,+144.61,원,13683,46.3
0,235980,메드팩토,12,500,103,20510,+3.06,+118300,-54200,12532,,+6.58,43480,,-1249,-37.7,22.30,,2740,-0,-278,-254,+134200,-54200,-60300,+61900,-59600,+78500,-42300,60400,-0,0,20200904,-54.47,20210820,+12.73,+61100,2,+700,+1.16,86748,+113.96,원,13166,64.2
0,268600,셀리버리,12,500,83,16688,+1.20,+413700,-63100,11415,,+4.41,47250,,-1060,-52.5,29.98,,2282,8,-176,-172,+413700,-63100,-67000,+69500,-65300,+87700,-47300,67500,-0,0,20210126,-83.47,20210820,+8.40,+68400,2,+900,+1.33,238250,-31.39,원,12836,76.9
0,323990,박셀바이오,12,500,76,15223,+1.21,+299700,-69000,11706,,+3.85,52080,,-293,-18.2,33.38,,2304,-0,-43,-40,+299700,-20450,-74000,+79500,-73100,+96700,-52100,74400,-0,0,20210107,-74.34,20201020,+276.04,+76900,2,+2500,+3.36,442806,+229.58,원,10202,67.0
0,003690,코리안리,12,500,602,120369,+0.18,+10200,-7360,11387,,+30.57,7070,8.02,1180,5.8,0.44,,21517,84471,1923,1421,+10200,-7090,+9350,+9480,-9270,+12100,-6520,9310,-0,0,20210513,-7.25,20200825,+33.43,+9460,2,+150,+1.61,381922,-82.56,원,75342,62.6
0,003850,보령제약,12,500,343,68690,+2.12,+30100,-16050,11471,,+6.31,11950,38.40,435,8.6,2.94,18.47,5686,5619,400,269,+30100,-13900,+16700,+17050,-16500,+21550,-11650,16600,-0,0,20210112,-44.52,20201102,+20.14,+16700,2,+100,+0.60,227278,-74.01,원,29107,42.4
0,004490,세방전지,12,500,70,14000,+1.67,+146500,-67600,11494,,+25.72,54250,17.35,4733,6.1,1.02,6.03,80451,12528,863,667,+146500,-26200,82200,+82900,-81100,+106500,-57600,82200,-0,0,20210128,-43.96,20200924,+213.36,-82100,5,-100,-0.12,32352,-88.37,원,7587,54.2
0,005300,롯데칠성,12,500,46,9279,+0.44,+175500,-104000,13083,,+8.66,106400,,-1397,-1.0,1.05,10.33,133667,22580,972,-168,+175500,-85600,-138500,+142000,-138500,+182000,-98000,140000,-0,0,20210513,-19.66,20201030,+64.72,+141000,2,+1000,+0.71,20085,-74.75,원,3338,36.0
0,005850,에스엘,12,500,241,48203,+0.58,+38250,-16000,13208,,+17.52,19580,20.11,1362,4.7,0.93,5.85,29505,25050,932,642,+38250,-11900,27200,+27850,-26950,+35350,-19050,27200,-0,0,20210625,-28.37,20200827,+130.25,+27400,2,+200,+0.74,89523,-70.64,원,15868,32.9
0,009420,한올바이오파마,12,500,261,52241,+2.80,+40600,-19350,11624,,+4.71,15610,58.81,378,12.3,6.30,121.44,3534,886,59,198,+41950,-19350,-22200,+22400,-22050,+28950,-15650,22300,-0,0,20200907,-46.96,20210511,+14.99,-22250,5,-50,-0.22,284178,-66.73,원,34304,65.7
0,013890,지누스,12,500,79,15800,+0.93,+112500,-76100,12830,,+22.19,61860,28.02,2898,11.6,3.04,12.84,26706,9895,867,458,+112500,-76100,-80600,+82000,-80500,+105500,-57000,81400,-0,0,20210804,-27.82,20210817,+6.70,-81200,5,-200,-0.25,48033,+101.73,원,9074,57.4
0,023590,다우기술,12,500,224,44867,+1.08,+29700,-21950,11845,,+21.71,20430,4.30,6143,18.9,0.74,-20.06,35592,47329,10154,6794,+29700,-18700,+26450,+26650,-26050,+34050,-18350,26200,-0,0,20210628,-11.11,20201030,+41.18,+26400,2,+200,+0.76,86594,-91.81,원,22298,49.7
0,032350,롯데관광개발,12,500,346,69276,+0.45,+23650,-14600,13266,,+6.83,13640,,-1183,-30.4,5.78,,3313,168,-714,-821,+23650,-13300,-18800,+19300,-18600,+24600,-13300,18950,-0,0,20210610,-19.03,20200924,+43.98,+19150,2,+200,+1.06,306116,-63.32,원,31698,45.8
0,093370,후성,12,500,463,92607,+4.52,+15250,-9020,13428,,+6.78,10860,224.08,65,2.8,6.17,40.52,2350,2616,28,-13,+15250,-7710,-14100,+14550,-14100,+18550,-10050,14300,-0,0,20210824,-4.92,20200827,+88.07,+14500,2,+200,+1.40,1370868,-39.39,원,46673,50.4
0,192080,더블유게임즈,12,500,92,18375,+2.60,+75000,-52000,11521,,+8.87,47110,10.23,6127,16.9,1.58,4.23,39642,6582,1942,1248,+82800,-52000,+60500,+63300,-60100,+78500,-42300,60400,-0,0,20200921,-24.28,20210311,+20.58,+62700,2,+2300,+3.81,191315,+150.50,원,8986,48.9
0,005290,동진쎄미켐,12,500,257,51414,+3.51,+38400,-25000,13393,,+7.13,19160,15.71,1658,21.6,3.09,8.54,8437,9378,1263,853,+38400,-24750,-25600,+26250,-25400,+33650,-18150,25900,-0,0,20210105,-32.16,20201027,+5.25,+26050,2,+150,+0.58,256993,-65.45,원,33207,64.6
0,022100,포스코 ICT,12,500,760,152035,+1.81,+9340,-6740,11007,,+2.73,4750,126.91,57,2.4,2.98,27.07,2432,9642,261,90,+9340,-4140,+7220,+7290,-7150,+9360,-5040,7200,-0,0,20210304,-22.48,20200904,+74.88,+7240,2,+40,+0.56,497621,-93.15,원,50067,32.9
0,272450,진에어,12,1000,450,45000,+0.03,+26000,-13250,9608,,+5.74,15120,,-5565,-131.4,8.89,,2401,2718,-1847,-1904,+26000,-8350,-20650,+21500,-20500,+27300,-14700,21000,-0,0,20210517,-17.88,20201102,+155.69,+21350,2,+350,+1.67,295996,+152.42,원,16897,37.6
0,036540,SFA반도체,12,500,825,164460,+4.30,+10300,-5470,11118,,+3.98,4990,66.79,101,5.2,3.32,14.95,2036,5731,343,176,+10300,-4800,-6700,+6820,-6640,+8770,-4730,6750,-0,0,20210216,-34.37,20201027,+40.83,+6760,2,+10,+0.15,736673,-56.62,원,73509,44.7
0,039200,오스코텍,12,500,151,30207,+1.96,+69900,-31050,10331,,+6.13,23800,,-144,-8.4,19.54,380.01,1750,435,16,-20,+71500,-29450,-33800,+34650,-33750,+44200,-23800,34000,-0,0,20201208,-52.17,20200825,+16.13,+34200,2,+200,+0.59,256343,-70.05,원,25213,83.5
0,046890,서울반도체,12,500,292,58305,+3.43,+22750,-15650,9562,,+9.36,12830,53.83,305,2.6,1.34,7.76,12246,11531,597,290,+22750,-15650,-16400,+16550,-16200,+21350,-11550,16450,-0,0,20210111,-27.91,20210820,+4.79,-16400,5,-50,-0.30,366904,+128.20,원,38239,65.6
0,069080,웹젠,12,500,177,35311,+3.59,+50300,-25000,9375,,+27.91,19750,10.88,2441,21.8,1.91,5.69,13887,2941,1083,863,+50300,-25000,-26400,+26900,-26100,+34700,-18700,26700,-0,0,20210409,-47.22,20210823,+6.20,-26550,5,-150,-0.56,158475,+109.31,원,20699,58.6
0,084370,유진테크,12,500,115,22916,+3.16,+54000,-31700,10014,,+22.95,33170,287.31,152,1.5,4.13,27.66,10592,2026,223,99,+54000,-24000,-43150,+44300,-43000,+56700,-30600,43650,-0,0,20210419,-19.07,20201026,+82.08,+43700,2,+50,+0.11,164311,-79.78,원,13830,60.4
0,084850,아이티엠반도체,12,500,116,23121,+1.62,+58400,-40700,10150,,+3.44,31320,68.48,641,5.5,3.63,20.03,12078,3911,254,147,+64000,-40700,+44150,+44200,-43400,+56500,-30450,43500,-0,0,20200903,-31.41,20210311,+7.86,+43900,2,+400,+0.92,47484,-94.26,원,7017,30.4
0,086450,동국제약,12,500,222,44460,+1.00,+33650,-22650,10581,,+18.72,18080,19.25,1236,14.5,2.60,9.70,9164,5591,847,579,+151100,-22650,+23900,+24000,-23600,+30900,-16700,23800,-0,0,20200825,-84.25,20210820,+5.08,23800,3,0,0.00,120800,-83.87,원,22881,51.5
